Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=0.5, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/200000, Loss: 0.832158, t=0.5: mean=-1.0531, std=1.0719, Time/epoch: 0.142s, ETA: 473.3min
Epoch   500/200000, Loss: 0.820491, t=0.5: mean=-0.0392, std=1.0192, Time/epoch: 0.004s, ETA: 13.2min
Epoch  1000/200000, Loss: 0.929374, t=0.5: mean=0.0470, std=1.0382, Time/epoch: 0.004s, ETA: 12.4min
Epoch  1500/200000, Loss: 0.867940, t=0.5: mean=-0.0368, std=0.9778, Time/epoch: 0.004s, ETA: 12.3min
Epoch  2000/200000, Loss: 1.070377, t=0.5: mean=0.0105, std=0.9978, Time/epoch: 0.004s, ETA: 12.3min
Epoch  2500/200000, Loss: 1.089067, t=0.5: mean=-0.0191, std=0.9919, Time/epoch: 0.004s, ETA: 12.2min
Epoch  3000/200000, Loss: 1.014566, t=0.5: mean=-0.0244, std=1.0084, Time/epoch: 0.004s, ETA: 12.2min
Epoch  3500/200000, Loss: 0.855597, t=0.5: mean=-0.0605, std=0.9656, Time/epoch: 0.004s, ETA: 12.2min
Epoch  4000/200000, Loss: 1.280131, t=0.5: mean=-0.0377, std=0.9708, Time/epoch: 0.004s, ETA: 12.1min
Epoch  4500/200000, Loss: 1.161329, t=0.5: mean=0.0644, std=1.0292, Time/epoch: 0.004s, ETA: 12.1min
Epoch  5000/200000, Loss: 1.115005, t=0.5: mean=0.0751, std=0.9831, Time/epoch: 0.004s, ETA: 12.1min
Epoch  5500/200000, Loss: 1.234902, t=0.5: mean=-0.0453, std=1.0305, Time/epoch: 0.004s, ETA: 12.0min
Epoch  6000/200000, Loss: 1.281419, t=0.5: mean=0.0543, std=0.9837, Time/epoch: 0.004s, ETA: 12.0min
Epoch  6500/200000, Loss: 1.382538, t=0.5: mean=0.0311, std=1.0033, Time/epoch: 0.004s, ETA: 12.0min
Epoch  7000/200000, Loss: 1.232507, t=0.5: mean=0.0318, std=1.0027, Time/epoch: 0.004s, ETA: 11.9min
Epoch  7500/200000, Loss: 1.464316, t=0.5: mean=-0.0575, std=0.9916, Time/epoch: 0.004s, ETA: 11.9min
Epoch  8000/200000, Loss: 1.330415, t=0.5: mean=-0.0673, std=0.9505, Time/epoch: 0.004s, ETA: 11.9min
Epoch  8500/200000, Loss: 1.674325, t=0.5: mean=-0.0444, std=1.0052, Time/epoch: 0.004s, ETA: 11.8min
Epoch  9000/200000, Loss: 1.260786, t=0.5: mean=0.0306, std=0.9926, Time/epoch: 0.004s, ETA: 11.8min
Epoch  9500/200000, Loss: 1.537841, t=0.5: mean=-0.0129, std=1.0351, Time/epoch: 0.004s, ETA: 11.8min
Epoch 10000/200000, Loss: 1.427503, t=0.5: mean=0.0009, std=0.9949, Time/epoch: 0.004s, ETA: 11.7min
Epoch 10500/200000, Loss: 1.595588, t=0.5: mean=-0.0098, std=0.9540, Time/epoch: 0.004s, ETA: 11.7min
Epoch 11000/200000, Loss: 1.691736, t=0.5: mean=0.0671, std=0.9977, Time/epoch: 0.004s, ETA: 11.7min
Epoch 11500/200000, Loss: 1.524985, t=0.5: mean=-0.0059, std=0.9761, Time/epoch: 0.004s, ETA: 11.6min
Epoch 12000/200000, Loss: 1.473306, t=0.5: mean=-0.0673, std=0.9949, Time/epoch: 0.004s, ETA: 11.6min
Epoch 12500/200000, Loss: 1.625993, t=0.5: mean=0.0167, std=0.9730, Time/epoch: 0.004s, ETA: 11.6min
Epoch 13000/200000, Loss: 1.580571, t=0.5: mean=-0.0649, std=1.0183, Time/epoch: 0.004s, ETA: 11.5min
Epoch 13500/200000, Loss: 1.798127, t=0.5: mean=0.0362, std=1.0025, Time/epoch: 0.004s, ETA: 11.5min
Epoch 14000/200000, Loss: 1.865076, t=0.5: mean=0.0131, std=0.9931, Time/epoch: 0.004s, ETA: 11.5min
Epoch 14500/200000, Loss: 1.911239, t=0.5: mean=-0.0091, std=0.9741, Time/epoch: 0.004s, ETA: 11.4min
Epoch 15000/200000, Loss: 1.735664, t=0.5: mean=-0.0129, std=1.0130, Time/epoch: 0.004s, ETA: 11.4min
Epoch 15500/200000, Loss: 2.041017, t=0.5: mean=0.0172, std=1.0061, Time/epoch: 0.004s, ETA: 11.4min
Epoch 16000/200000, Loss: 1.660227, t=0.5: mean=0.0307, std=1.0145, Time/epoch: 0.004s, ETA: 11.4min
Epoch 16500/200000, Loss: 2.087617, t=0.5: mean=0.0223, std=1.0098, Time/epoch: 0.004s, ETA: 11.3min
Epoch 17000/200000, Loss: 1.582632, t=0.5: mean=0.0399, std=0.9906, Time/epoch: 0.004s, ETA: 11.3min
Epoch 17500/200000, Loss: 2.339142, t=0.5: mean=-0.0191, std=1.0409, Time/epoch: 0.004s, ETA: 11.3min
Epoch 18000/200000, Loss: 1.899334, t=0.5: mean=0.0427, std=1.0408, Time/epoch: 0.004s, ETA: 11.2min
Epoch 18500/200000, Loss: 2.063869, t=0.5: mean=0.0021, std=1.0167, Time/epoch: 0.004s, ETA: 11.2min
Epoch 19000/200000, Loss: 2.062719, t=0.5: mean=0.0397, std=0.9999, Time/epoch: 0.004s, ETA: 11.2min
Epoch 19500/200000, Loss: 2.092093, t=0.5: mean=0.0166, std=1.0102, Time/epoch: 0.004s, ETA: 11.2min
Epoch 20000/200000, Loss: 2.095070, t=0.5: mean=0.0106, std=0.9759, Time/epoch: 0.004s, ETA: 11.2min
Epoch 20500/200000, Loss: 1.872185, t=0.5: mean=0.0545, std=0.9759, Time/epoch: 0.004s, ETA: 11.1min
Epoch 21000/200000, Loss: 2.020765, t=0.5: mean=-0.0688, std=0.9819, Time/epoch: 0.004s, ETA: 11.1min
Epoch 21500/200000, Loss: 2.074255, t=0.5: mean=-0.0716, std=1.0172, Time/epoch: 0.004s, ETA: 11.0min
Epoch 22000/200000, Loss: 2.080178, t=0.5: mean=0.0217, std=0.9651, Time/epoch: 0.004s, ETA: 11.0min
Epoch 22500/200000, Loss: 2.155791, t=0.5: mean=-0.0186, std=1.0278, Time/epoch: 0.004s, ETA: 11.0min
Epoch 23000/200000, Loss: 2.441271, t=0.5: mean=-0.0164, std=0.9972, Time/epoch: 0.004s, ETA: 11.0min
Epoch 23500/200000, Loss: 2.279627, t=0.5: mean=-0.0880, std=0.9930, Time/epoch: 0.004s, ETA: 10.9min
Epoch 24000/200000, Loss: 2.520384, t=0.5: mean=0.0055, std=0.9803, Time/epoch: 0.004s, ETA: 10.9min
Epoch 24500/200000, Loss: 2.634494, t=0.5: mean=-0.0213, std=0.9984, Time/epoch: 0.004s, ETA: 10.9min
Epoch 25000/200000, Loss: 2.285968, t=0.5: mean=0.0041, std=1.0347, Time/epoch: 0.004s, ETA: 10.8min
Epoch 25500/200000, Loss: 2.509235, t=0.5: mean=-0.0332, std=1.0069, Time/epoch: 0.004s, ETA: 10.8min
Epoch 26000/200000, Loss: 2.659003, t=0.5: mean=0.0322, std=1.0174, Time/epoch: 0.004s, ETA: 10.8min
Epoch 26500/200000, Loss: 2.220105, t=0.5: mean=-0.0256, std=0.9642, Time/epoch: 0.004s, ETA: 10.7min
Epoch 27000/200000, Loss: 2.443247, t=0.5: mean=-0.0520, std=1.0443, Time/epoch: 0.004s, ETA: 10.7min
Epoch 27500/200000, Loss: 2.513551, t=0.5: mean=-0.0253, std=0.9918, Time/epoch: 0.004s, ETA: 10.7min
Epoch 28000/200000, Loss: 2.457252, t=0.5: mean=0.1064, std=1.0044, Time/epoch: 0.004s, ETA: 10.6min
Epoch 28500/200000, Loss: 2.304601, t=0.5: mean=-0.0402, std=1.0180, Time/epoch: 0.004s, ETA: 10.6min
Epoch 29000/200000, Loss: 2.672588, t=0.5: mean=0.0463, std=1.0125, Time/epoch: 0.004s, ETA: 10.6min
Epoch 29500/200000, Loss: 2.259396, t=0.5: mean=0.0270, std=0.9711, Time/epoch: 0.004s, ETA: 10.6min
Epoch 30000/200000, Loss: 2.282524, t=0.5: mean=-0.0533, std=0.9988, Time/epoch: 0.004s, ETA: 10.6min
Epoch 30500/200000, Loss: 2.465650, t=0.5: mean=-0.0049, std=0.9873, Time/epoch: 0.004s, ETA: 10.5min
Epoch 31000/200000, Loss: 2.363329, t=0.5: mean=-0.0128, std=1.0285, Time/epoch: 0.004s, ETA: 10.5min
Epoch 31500/200000, Loss: 2.969158, t=0.5: mean=0.0181, std=0.9950, Time/epoch: 0.004s, ETA: 10.4min
Epoch 32000/200000, Loss: 2.546989, t=0.5: mean=-0.0618, std=1.0080, Time/epoch: 0.004s, ETA: 10.4min
Epoch 32500/200000, Loss: 2.612898, t=0.5: mean=0.0302, std=0.9652, Time/epoch: 0.004s, ETA: 10.4min
Epoch 33000/200000, Loss: 2.180828, t=0.5: mean=0.0796, std=1.0159, Time/epoch: 0.004s, ETA: 10.3min
Epoch 33500/200000, Loss: 3.026321, t=0.5: mean=-0.0036, std=1.0074, Time/epoch: 0.004s, ETA: 10.3min
Epoch 34000/200000, Loss: 2.695275, t=0.5: mean=0.0520, std=1.0081, Time/epoch: 0.004s, ETA: 10.3min
Epoch 34500/200000, Loss: 2.581322, t=0.5: mean=0.0965, std=1.0099, Time/epoch: 0.004s, ETA: 10.3min
Epoch 35000/200000, Loss: 2.375565, t=0.5: mean=0.0007, std=1.0038, Time/epoch: 0.004s, ETA: 10.2min
Epoch 35500/200000, Loss: 2.883707, t=0.5: mean=-0.0375, std=1.0171, Time/epoch: 0.004s, ETA: 10.2min
Epoch 36000/200000, Loss: 2.623503, t=0.5: mean=-0.0197, std=1.0148, Time/epoch: 0.004s, ETA: 10.2min
Epoch 36500/200000, Loss: 2.833808, t=0.5: mean=0.0612, std=0.9837, Time/epoch: 0.004s, ETA: 10.1min
