Using device: cuda
================================================================================
Time-Dependent 2D Double-Peak Distribution
================================================================================

PHYSICAL PARAMETERS:
  Diffusion coefficient: σ = 0.4
  Time interval: [0, 1.0]

INITIAL CONDITION:
  Type: Single Gaussian
  Mean: μ₀ = [0. 0.]
  Std dev: σ₀ = 0.5
  Strategy: Single blob at origin → evolves to double peaks

NETWORK ARCHITECTURE:
  Base dimension: 16
  Hidden layers: [64, 64, 64]
  Activation: Tanh

TRAINING PARAMETERS:
  Test functions: K = 200
  Batch size: M = 2000
  Epochs: 200000
  Generator LR: 0.01 (with exponential decay γ=0.99999)
  Test function LR: 0.05 (with exponential decay γ=0.99999)
  Test updates: 5 every 1 epochs
================================================================================

Starting training...
--------------------------------------------------------------------------------
/users/andrewho/.conda/envs/torch_gpu/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
Epoch 54000, Loss: nan, LR_gen: 5.83e-03, LR_test: 2.91e-02
Epoch 55000, Loss: nan, LR_gen: 5.77e-03, LR_test: 2.88e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 56000, Loss: nan, LR_gen: 5.71e-03, LR_test: 2.86e-02
Epoch 57000, Loss: nan, LR_gen: 5.66e-03, LR_test: 2.83e-02
Epoch 58000, Loss: nan, LR_gen: 5.60e-03, LR_test: 2.80e-02
Epoch 59000, Loss: nan, LR_gen: 5.54e-03, LR_test: 2.77e-02
Epoch 60000, Loss: nan, LR_gen: 5.49e-03, LR_test: 2.74e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 61000, Loss: nan, LR_gen: 5.43e-03, LR_test: 2.72e-02
Epoch 62000, Loss: nan, LR_gen: 5.38e-03, LR_test: 2.69e-02
Epoch 63000, Loss: nan, LR_gen: 5.33e-03, LR_test: 2.66e-02
Epoch 64000, Loss: nan, LR_gen: 5.27e-03, LR_test: 2.64e-02
Epoch 65000, Loss: nan, LR_gen: 5.22e-03, LR_test: 2.61e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 66000, Loss: nan, LR_gen: 5.17e-03, LR_test: 2.58e-02
Epoch 67000, Loss: nan, LR_gen: 5.12e-03, LR_test: 2.56e-02
Epoch 68000, Loss: nan, LR_gen: 5.07e-03, LR_test: 2.53e-02
Epoch 69000, Loss: nan, LR_gen: 5.02e-03, LR_test: 2.51e-02
Epoch 70000, Loss: nan, LR_gen: 4.97e-03, LR_test: 2.48e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 71000, Loss: nan, LR_gen: 4.92e-03, LR_test: 2.46e-02
Epoch 72000, Loss: nan, LR_gen: 4.87e-03, LR_test: 2.43e-02
Epoch 73000, Loss: nan, LR_gen: 4.82e-03, LR_test: 2.41e-02
Epoch 74000, Loss: nan, LR_gen: 4.77e-03, LR_test: 2.39e-02
Epoch 75000, Loss: nan, LR_gen: 4.72e-03, LR_test: 2.36e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 76000, Loss: nan, LR_gen: 4.68e-03, LR_test: 2.34e-02
Epoch 77000, Loss: nan, LR_gen: 4.63e-03, LR_test: 2.32e-02
Epoch 78000, Loss: nan, LR_gen: 4.58e-03, LR_test: 2.29e-02
Epoch 79000, Loss: nan, LR_gen: 4.54e-03, LR_test: 2.27e-02
Epoch 80000, Loss: nan, LR_gen: 4.49e-03, LR_test: 2.25e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 81000, Loss: nan, LR_gen: 4.45e-03, LR_test: 2.22e-02
Epoch 82000, Loss: nan, LR_gen: 4.40e-03, LR_test: 2.20e-02
Epoch 83000, Loss: nan, LR_gen: 4.36e-03, LR_test: 2.18e-02
Epoch 84000, Loss: nan, LR_gen: 4.32e-03, LR_test: 2.16e-02
Epoch 85000, Loss: nan, LR_gen: 4.27e-03, LR_test: 2.14e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 86000, Loss: nan, LR_gen: 4.23e-03, LR_test: 2.12e-02
Epoch 87000, Loss: nan, LR_gen: 4.19e-03, LR_test: 2.09e-02
Epoch 88000, Loss: nan, LR_gen: 4.15e-03, LR_test: 2.07e-02
Epoch 89000, Loss: nan, LR_gen: 4.11e-03, LR_test: 2.05e-02
Epoch 90000, Loss: nan, LR_gen: 4.07e-03, LR_test: 2.03e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 91000, Loss: nan, LR_gen: 4.03e-03, LR_test: 2.01e-02
Epoch 92000, Loss: nan, LR_gen: 3.99e-03, LR_test: 1.99e-02
Epoch 93000, Loss: nan, LR_gen: 3.95e-03, LR_test: 1.97e-02
Epoch 94000, Loss: nan, LR_gen: 3.91e-03, LR_test: 1.95e-02
Epoch 95000, Loss: nan, LR_gen: 3.87e-03, LR_test: 1.93e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 96000, Loss: nan, LR_gen: 3.83e-03, LR_test: 1.91e-02
Epoch 97000, Loss: nan, LR_gen: 3.79e-03, LR_test: 1.90e-02
Epoch 98000, Loss: nan, LR_gen: 3.75e-03, LR_test: 1.88e-02
Epoch 99000, Loss: nan, LR_gen: 3.72e-03, LR_test: 1.86e-02
Epoch 100000, Loss: nan, LR_gen: 3.68e-03, LR_test: 1.84e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 101000, Loss: nan, LR_gen: 3.64e-03, LR_test: 1.82e-02
Epoch 102000, Loss: nan, LR_gen: 3.61e-03, LR_test: 1.80e-02
Epoch 103000, Loss: nan, LR_gen: 3.57e-03, LR_test: 1.79e-02
Epoch 104000, Loss: nan, LR_gen: 3.53e-03, LR_test: 1.77e-02
Epoch 105000, Loss: nan, LR_gen: 3.50e-03, LR_test: 1.75e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 106000, Loss: nan, LR_gen: 3.46e-03, LR_test: 1.73e-02
Epoch 107000, Loss: nan, LR_gen: 3.43e-03, LR_test: 1.72e-02
Epoch 108000, Loss: nan, LR_gen: 3.40e-03, LR_test: 1.70e-02
Epoch 109000, Loss: nan, LR_gen: 3.36e-03, LR_test: 1.68e-02
Epoch 110000, Loss: nan, LR_gen: 3.33e-03, LR_test: 1.66e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 111000, Loss: nan, LR_gen: 3.30e-03, LR_test: 1.65e-02
Epoch 112000, Loss: nan, LR_gen: 3.26e-03, LR_test: 1.63e-02
Epoch 113000, Loss: nan, LR_gen: 3.23e-03, LR_test: 1.62e-02
Epoch 114000, Loss: nan, LR_gen: 3.20e-03, LR_test: 1.60e-02
Epoch 115000, Loss: nan, LR_gen: 3.17e-03, LR_test: 1.58e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 116000, Loss: nan, LR_gen: 3.13e-03, LR_test: 1.57e-02
Epoch 117000, Loss: nan, LR_gen: 3.10e-03, LR_test: 1.55e-02
Epoch 118000, Loss: nan, LR_gen: 3.07e-03, LR_test: 1.54e-02
Epoch 119000, Loss: nan, LR_gen: 3.04e-03, LR_test: 1.52e-02
Epoch 120000, Loss: nan, LR_gen: 3.01e-03, LR_test: 1.51e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 121000, Loss: nan, LR_gen: 2.98e-03, LR_test: 1.49e-02
Epoch 122000, Loss: nan, LR_gen: 2.95e-03, LR_test: 1.48e-02
Epoch 123000, Loss: nan, LR_gen: 2.92e-03, LR_test: 1.46e-02
Epoch 124000, Loss: nan, LR_gen: 2.89e-03, LR_test: 1.45e-02
Epoch 125000, Loss: nan, LR_gen: 2.87e-03, LR_test: 1.43e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 126000, Loss: nan, LR_gen: 2.84e-03, LR_test: 1.42e-02
Epoch 127000, Loss: nan, LR_gen: 2.81e-03, LR_test: 1.40e-02
Epoch 128000, Loss: nan, LR_gen: 2.78e-03, LR_test: 1.39e-02
Epoch 129000, Loss: nan, LR_gen: 2.75e-03, LR_test: 1.38e-02
Epoch 130000, Loss: nan, LR_gen: 2.73e-03, LR_test: 1.36e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 131000, Loss: nan, LR_gen: 2.70e-03, LR_test: 1.35e-02
Epoch 132000, Loss: nan, LR_gen: 2.67e-03, LR_test: 1.34e-02
Epoch 133000, Loss: nan, LR_gen: 2.64e-03, LR_test: 1.32e-02
Epoch 134000, Loss: nan, LR_gen: 2.62e-03, LR_test: 1.31e-02
Epoch 135000, Loss: nan, LR_gen: 2.59e-03, LR_test: 1.30e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 136000, Loss: nan, LR_gen: 2.57e-03, LR_test: 1.28e-02
Epoch 137000, Loss: nan, LR_gen: 2.54e-03, LR_test: 1.27e-02
Epoch 138000, Loss: nan, LR_gen: 2.52e-03, LR_test: 1.26e-02
Epoch 139000, Loss: nan, LR_gen: 2.49e-03, LR_test: 1.25e-02
Epoch 140000, Loss: nan, LR_gen: 2.47e-03, LR_test: 1.23e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 141000, Loss: nan, LR_gen: 2.44e-03, LR_test: 1.22e-02
Epoch 142000, Loss: nan, LR_gen: 2.42e-03, LR_test: 1.21e-02
Epoch 143000, Loss: nan, LR_gen: 2.39e-03, LR_test: 1.20e-02
Epoch 144000, Loss: nan, LR_gen: 2.37e-03, LR_test: 1.18e-02
Epoch 145000, Loss: nan, LR_gen: 2.35e-03, LR_test: 1.17e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 146000, Loss: nan, LR_gen: 2.32e-03, LR_test: 1.16e-02
Epoch 147000, Loss: nan, LR_gen: 2.30e-03, LR_test: 1.15e-02
Epoch 148000, Loss: nan, LR_gen: 2.28e-03, LR_test: 1.14e-02
Epoch 149000, Loss: nan, LR_gen: 2.25e-03, LR_test: 1.13e-02
Epoch 150000, Loss: nan, LR_gen: 2.23e-03, LR_test: 1.12e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 151000, Loss: nan, LR_gen: 2.21e-03, LR_test: 1.10e-02
Epoch 152000, Loss: nan, LR_gen: 2.19e-03, LR_test: 1.09e-02
Epoch 153000, Loss: nan, LR_gen: 2.17e-03, LR_test: 1.08e-02
Epoch 154000, Loss: nan, LR_gen: 2.14e-03, LR_test: 1.07e-02
Epoch 155000, Loss: nan, LR_gen: 2.12e-03, LR_test: 1.06e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 156000, Loss: nan, LR_gen: 2.10e-03, LR_test: 1.05e-02
Epoch 157000, Loss: nan, LR_gen: 2.08e-03, LR_test: 1.04e-02
Epoch 158000, Loss: nan, LR_gen: 2.06e-03, LR_test: 1.03e-02
Epoch 159000, Loss: nan, LR_gen: 2.04e-03, LR_test: 1.02e-02
Epoch 160000, Loss: nan, LR_gen: 2.02e-03, LR_test: 1.01e-02
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 161000, Loss: nan, LR_gen: 2.00e-03, LR_test: 9.99e-03
Epoch 162000, Loss: nan, LR_gen: 1.98e-03, LR_test: 9.89e-03
Epoch 163000, Loss: nan, LR_gen: 1.96e-03, LR_test: 9.80e-03
Epoch 164000, Loss: nan, LR_gen: 1.94e-03, LR_test: 9.70e-03
Epoch 165000, Loss: nan, LR_gen: 1.92e-03, LR_test: 9.60e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 166000, Loss: nan, LR_gen: 1.90e-03, LR_test: 9.51e-03
Epoch 167000, Loss: nan, LR_gen: 1.88e-03, LR_test: 9.41e-03
Epoch 168000, Loss: nan, LR_gen: 1.86e-03, LR_test: 9.32e-03
Epoch 169000, Loss: nan, LR_gen: 1.85e-03, LR_test: 9.23e-03
Epoch 170000, Loss: nan, LR_gen: 1.83e-03, LR_test: 9.13e-03
t=0.500: mean=(   nan,    nan), std=(nan, nan)
Epoch 171000, Loss: nan, LR_gen: 1.81e-03, LR_test: 9.04e-03
Epoch 172000, Loss: nan, LR_gen: 1.79e-03, LR_test: 8.95e-03
