Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=1.0, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/200000, Loss: 0.724508, t=0.5: mean=-0.2887, std=1.0244, Time/epoch: 3.744s, ETA: 12479.7min
Epoch   500/200000, Loss: 0.702585, t=0.5: mean=-0.0076, std=1.0204, Time/epoch: 0.004s, ETA: 13.7min
Epoch  1000/200000, Loss: 0.808472, t=0.5: mean=0.0387, std=1.0373, Time/epoch: 0.004s, ETA: 13.0min
Epoch  1500/200000, Loss: 0.742166, t=0.5: mean=-0.0435, std=0.9790, Time/epoch: 0.004s, ETA: 13.0min
Epoch  2000/200000, Loss: 0.917320, t=0.5: mean=-0.0026, std=0.9991, Time/epoch: 0.004s, ETA: 13.0min
Epoch  2500/200000, Loss: 0.886299, t=0.5: mean=-0.0058, std=0.9923, Time/epoch: 0.004s, ETA: 12.9min
Epoch  3000/200000, Loss: 0.860130, t=0.5: mean=-0.0251, std=1.0035, Time/epoch: 0.004s, ETA: 12.9min
Epoch  3500/200000, Loss: 0.676143, t=0.5: mean=-0.0650, std=0.9669, Time/epoch: 0.004s, ETA: 12.9min
Epoch  4000/200000, Loss: 1.053473, t=0.5: mean=0.0036, std=0.9727, Time/epoch: 0.004s, ETA: 12.8min
Epoch  4500/200000, Loss: 0.929141, t=0.5: mean=0.0550, std=1.0297, Time/epoch: 0.004s, ETA: 12.8min
Epoch  5000/200000, Loss: 0.941740, t=0.5: mean=0.0427, std=0.9785, Time/epoch: 0.004s, ETA: 12.8min
Epoch  5500/200000, Loss: 1.007890, t=0.5: mean=-0.0360, std=1.0241, Time/epoch: 0.004s, ETA: 12.8min
Epoch  6000/200000, Loss: 1.057674, t=0.5: mean=0.0579, std=0.9872, Time/epoch: 0.004s, ETA: 12.8min
Epoch  6500/200000, Loss: 1.101932, t=0.5: mean=0.0159, std=0.9995, Time/epoch: 0.004s, ETA: 12.7min
Epoch  7000/200000, Loss: 1.020748, t=0.5: mean=0.0234, std=1.0009, Time/epoch: 0.004s, ETA: 12.7min
Epoch  7500/200000, Loss: 1.219050, t=0.5: mean=-0.0719, std=0.9849, Time/epoch: 0.004s, ETA: 12.6min
Epoch  8000/200000, Loss: 1.070691, t=0.5: mean=-0.0522, std=0.9507, Time/epoch: 0.004s, ETA: 12.6min
Epoch  8500/200000, Loss: 1.354390, t=0.5: mean=-0.0238, std=1.0020, Time/epoch: 0.004s, ETA: 12.5min
Epoch  9000/200000, Loss: 1.000437, t=0.5: mean=0.0172, std=0.9880, Time/epoch: 0.004s, ETA: 12.5min
Epoch  9500/200000, Loss: 1.199648, t=0.5: mean=0.0081, std=1.0308, Time/epoch: 0.004s, ETA: 12.5min
Epoch 10000/200000, Loss: 1.093260, t=0.5: mean=-0.0285, std=0.9896, Time/epoch: 0.004s, ETA: 12.4min
Epoch 10500/200000, Loss: 1.320070, t=0.5: mean=-0.0355, std=0.9510, Time/epoch: 0.004s, ETA: 12.4min
Epoch 11000/200000, Loss: 1.310244, t=0.5: mean=0.0837, std=0.9995, Time/epoch: 0.004s, ETA: 12.4min
Epoch 11500/200000, Loss: 1.261924, t=0.5: mean=0.0039, std=0.9745, Time/epoch: 0.004s, ETA: 12.3min
Epoch 12000/200000, Loss: 1.213235, t=0.5: mean=-0.0361, std=0.9927, Time/epoch: 0.004s, ETA: 12.3min
Epoch 12500/200000, Loss: 1.333533, t=0.5: mean=-0.0044, std=0.9655, Time/epoch: 0.004s, ETA: 12.3min
Epoch 13000/200000, Loss: 1.248339, t=0.5: mean=-0.0430, std=1.0117, Time/epoch: 0.004s, ETA: 12.2min
Epoch 13500/200000, Loss: 1.408628, t=0.5: mean=-0.0598, std=1.0040, Time/epoch: 0.004s, ETA: 12.2min
Epoch 14000/200000, Loss: 1.524384, t=0.5: mean=-0.0000, std=0.9933, Time/epoch: 0.004s, ETA: 12.1min
Epoch 14500/200000, Loss: 1.513137, t=0.5: mean=0.0070, std=0.9742, Time/epoch: 0.004s, ETA: 11.9min
Epoch 15000/200000, Loss: 1.434033, t=0.5: mean=-0.0127, std=1.0096, Time/epoch: 0.004s, ETA: 11.5min
Epoch 15500/200000, Loss: 1.647138, t=0.5: mean=0.0153, std=1.0023, Time/epoch: 0.004s, ETA: 11.5min
Epoch 16000/200000, Loss: 1.353330, t=0.5: mean=-0.0033, std=1.0054, Time/epoch: 0.004s, ETA: 11.5min
Epoch 16500/200000, Loss: 1.671097, t=0.5: mean=0.0497, std=1.0045, Time/epoch: 0.004s, ETA: 11.5min
Epoch 17000/200000, Loss: 1.277049, t=0.5: mean=0.0013, std=0.9910, Time/epoch: 0.004s, ETA: 11.4min
Epoch 17500/200000, Loss: 1.858753, t=0.5: mean=-0.0363, std=1.0335, Time/epoch: 0.004s, ETA: 11.4min
Epoch 18000/200000, Loss: 1.513496, t=0.5: mean=0.0417, std=1.0337, Time/epoch: 0.004s, ETA: 11.3min
Epoch 18500/200000, Loss: 1.677128, t=0.5: mean=-0.0096, std=1.0162, Time/epoch: 0.004s, ETA: 11.3min
Epoch 19000/200000, Loss: 1.737922, t=0.5: mean=0.0117, std=0.9972, Time/epoch: 0.004s, ETA: 11.2min
Epoch 19500/200000, Loss: 1.703264, t=0.5: mean=-0.0147, std=1.0044, Time/epoch: 0.004s, ETA: 11.2min
Epoch 20000/200000, Loss: 1.641141, t=0.5: mean=0.0206, std=0.9792, Time/epoch: 0.004s, ETA: 11.2min
Epoch 20500/200000, Loss: 1.474040, t=0.5: mean=0.0722, std=0.9745, Time/epoch: 0.004s, ETA: 11.2min
Epoch 21000/200000, Loss: 1.510143, t=0.5: mean=-0.0391, std=0.9777, Time/epoch: 0.004s, ETA: 11.2min
Epoch 21500/200000, Loss: 1.658236, t=0.5: mean=-0.0365, std=1.0178, Time/epoch: 0.004s, ETA: 11.1min
Epoch 22000/200000, Loss: 1.673458, t=0.5: mean=0.0443, std=0.9645, Time/epoch: 0.004s, ETA: 11.0min
Epoch 22500/200000, Loss: 1.629112, t=0.5: mean=0.0008, std=1.0289, Time/epoch: 0.004s, ETA: 11.0min
Epoch 23000/200000, Loss: 2.040315, t=0.5: mean=-0.0166, std=0.9979, Time/epoch: 0.004s, ETA: 11.1min
Epoch 23500/200000, Loss: 1.764114, t=0.5: mean=-0.0287, std=0.9914, Time/epoch: 0.004s, ETA: 11.0min
Epoch 24000/200000, Loss: 1.987128, t=0.5: mean=-0.0322, std=0.9769, Time/epoch: 0.004s, ETA: 11.0min
