Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=1.0, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 100000 epochs
Architecture: ResNet with residual blocks
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 6,689
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch 22500/100000, Loss: 1.613729, t=0.5: mean=0.0263, std=1.0273, Time/epoch: 0.006s, ETA: 7.3min
Epoch 23000/100000, Loss: 2.028976, t=0.5: mean=-0.0055, std=0.9984, Time/epoch: 0.006s, ETA: 7.2min
Epoch 23500/100000, Loss: 1.781289, t=0.5: mean=-0.0223, std=0.9908, Time/epoch: 0.006s, ETA: 7.2min
Epoch 24000/100000, Loss: 1.921817, t=0.5: mean=-0.1155, std=0.9778, Time/epoch: 0.006s, ETA: 7.1min
Epoch 24500/100000, Loss: 2.000750, t=0.5: mean=0.0469, std=0.9930, Time/epoch: 0.006s, ETA: 7.1min
Epoch 25000/100000, Loss: 1.949813, t=0.5: mean=0.0576, std=1.0265, Time/epoch: 0.006s, ETA: 7.0min
Epoch 25500/100000, Loss: 2.022548, t=0.5: mean=0.0044, std=1.0074, Time/epoch: 0.006s, ETA: 7.0min
Epoch 26000/100000, Loss: 2.058012, t=0.5: mean=0.0888, std=1.0161, Time/epoch: 0.006s, ETA: 6.9min
Epoch 26500/100000, Loss: 1.817500, t=0.5: mean=-0.0474, std=0.9598, Time/epoch: 0.006s, ETA: 6.9min
Epoch 27000/100000, Loss: 1.921904, t=0.5: mean=-0.0378, std=1.0449, Time/epoch: 0.006s, ETA: 6.8min
Epoch 27500/100000, Loss: 1.946620, t=0.5: mean=0.0441, std=0.9820, Time/epoch: 0.006s, ETA: 6.8min
Epoch 28000/100000, Loss: 1.997920, t=0.5: mean=0.0436, std=0.9973, Time/epoch: 0.006s, ETA: 6.8min
Epoch 28500/100000, Loss: 1.676638, t=0.5: mean=-0.0459, std=1.0132, Time/epoch: 0.006s, ETA: 6.7min
Epoch 29000/100000, Loss: 2.164046, t=0.5: mean=-0.0924, std=1.0152, Time/epoch: 0.006s, ETA: 6.7min
Epoch 29500/100000, Loss: 1.780352, t=0.5: mean=0.0450, std=0.9643, Time/epoch: 0.006s, ETA: 6.6min
Epoch 30000/100000, Loss: 1.858709, t=0.5: mean=-0.0908, std=0.9988, Time/epoch: 0.006s, ETA: 6.6min
Epoch 30500/100000, Loss: 2.009542, t=0.5: mean=-0.0411, std=0.9848, Time/epoch: 0.006s, ETA: 6.5min
Epoch 31000/100000, Loss: 1.890425, t=0.5: mean=-0.0078, std=1.0320, Time/epoch: 0.006s, ETA: 6.5min
Epoch 31500/100000, Loss: 2.400276, t=0.5: mean=-0.0032, std=0.9928, Time/epoch: 0.006s, ETA: 6.4min
Epoch 32000/100000, Loss: 2.090248, t=0.5: mean=-0.0766, std=1.0042, Time/epoch: 0.006s, ETA: 6.4min
Epoch 32500/100000, Loss: 2.088765, t=0.5: mean=0.0080, std=0.9587, Time/epoch: 0.006s, ETA: 6.3min
Epoch 33000/100000, Loss: 1.837413, t=0.5: mean=0.1269, std=1.0119, Time/epoch: 0.006s, ETA: 6.3min
Epoch 33500/100000, Loss: 2.429448, t=0.5: mean=-0.0722, std=1.0057, Time/epoch: 0.006s, ETA: 6.2min
Epoch 34000/100000, Loss: 2.197114, t=0.5: mean=-0.0047, std=0.9983, Time/epoch: 0.006s, ETA: 6.2min
Epoch 34500/100000, Loss: 1.992294, t=0.5: mean=0.0792, std=1.0022, Time/epoch: 0.006s, ETA: 6.1min
Epoch 35000/100000, Loss: 1.803550, t=0.5: mean=0.0262, std=1.0047, Time/epoch: 0.006s, ETA: 6.1min
Epoch 35500/100000, Loss: 2.315125, t=0.5: mean=-0.0037, std=1.0197, Time/epoch: 0.006s, ETA: 6.1min
Epoch 36000/100000, Loss: 2.099661, t=0.5: mean=0.0328, std=1.0145, Time/epoch: 0.006s, ETA: 6.0min
Epoch 36500/100000, Loss: 2.151671, t=0.5: mean=0.0211, std=0.9817, Time/epoch: 0.006s, ETA: 6.0min
Epoch 37000/100000, Loss: 2.670342, t=0.5: mean=0.0694, std=1.0262, Time/epoch: 0.006s, ETA: 5.9min
Epoch 37500/100000, Loss: 2.210554, t=0.5: mean=0.1139, std=0.9711, Time/epoch: 0.006s, ETA: 5.9min
Epoch 38000/100000, Loss: 2.152198, t=0.5: mean=-0.0431, std=0.9692, Time/epoch: 0.006s, ETA: 5.8min
Epoch 38500/100000, Loss: 2.155846, t=0.5: mean=-0.1091, std=0.9981, Time/epoch: 0.006s, ETA: 5.8min
Epoch 39000/100000, Loss: 1.944156, t=0.5: mean=-0.0389, std=1.0150, Time/epoch: 0.006s, ETA: 5.7min
Epoch 39500/100000, Loss: 2.608750, t=0.5: mean=0.0756, std=1.0360, Time/epoch: 0.006s, ETA: 5.7min
Epoch 40000/100000, Loss: 1.823701, t=0.5: mean=0.0149, std=1.0127, Time/epoch: 0.006s, ETA: 5.6min
Epoch 40500/100000, Loss: 2.033454, t=0.5: mean=-0.0792, std=1.0310, Time/epoch: 0.006s, ETA: 5.6min
Epoch 41000/100000, Loss: 2.246305, t=0.5: mean=-0.0183, std=1.0167, Time/epoch: 0.006s, ETA: 5.5min
Epoch 41500/100000, Loss: 2.252685, t=0.5: mean=0.0209, std=1.0073, Time/epoch: 0.006s, ETA: 5.5min
Epoch 42000/100000, Loss: 2.110753, t=0.5: mean=0.0519, std=0.9987, Time/epoch: 0.006s, ETA: 5.4min
Epoch 42500/100000, Loss: 2.393964, t=0.5: mean=0.0567, std=1.0170, Time/epoch: 0.006s, ETA: 5.4min
Epoch 43000/100000, Loss: 2.653492, t=0.5: mean=-0.0043, std=0.9782, Time/epoch: 0.006s, ETA: 5.3min
Epoch 43500/100000, Loss: 2.104486, t=0.5: mean=-0.0636, std=0.9981, Time/epoch: 0.006s, ETA: 5.3min
Epoch 44000/100000, Loss: 2.275933, t=0.5: mean=0.0411, std=1.0375, Time/epoch: 0.006s, ETA: 5.2min
Epoch 44500/100000, Loss: 2.307932, t=0.5: mean=0.0305, std=1.0108, Time/epoch: 0.006s, ETA: 5.2min
Epoch 45000/100000, Loss: 2.250260, t=0.5: mean=0.0322, std=0.9751, Time/epoch: 0.006s, ETA: 5.2min
Epoch 45500/100000, Loss: 2.551826, t=0.5: mean=0.0120, std=0.9432, Time/epoch: 0.006s, ETA: 5.1min
Epoch 46000/100000, Loss: 2.707205, t=0.5: mean=0.0043, std=0.9962, Time/epoch: 0.006s, ETA: 5.1min
Epoch 46500/100000, Loss: 2.575560, t=0.5: mean=-0.0256, std=1.0016, Time/epoch: 0.006s, ETA: 5.0min
Epoch 47000/100000, Loss: 2.786607, t=0.5: mean=0.0439, std=0.9755, Time/epoch: 0.006s, ETA: 5.0min
Epoch 47500/100000, Loss: 2.586185, t=0.5: mean=-0.0478, std=0.9839, Time/epoch: 0.006s, ETA: 4.9min
Epoch 48000/100000, Loss: 2.255669, t=0.5: mean=0.1072, std=1.0226, Time/epoch: 0.006s, ETA: 4.9min
Epoch 48500/100000, Loss: 2.469611, t=0.5: mean=0.0277, std=0.9735, Time/epoch: 0.006s, ETA: 4.8min
Epoch 49000/100000, Loss: 2.542380, t=0.5: mean=-0.0384, std=1.0389, Time/epoch: 0.006s, ETA: 4.8min
Epoch 49500/100000, Loss: 2.390727, t=0.5: mean=-0.0119, std=0.9950, Time/epoch: 0.006s, ETA: 4.7min
Epoch 50000/100000, Loss: 2.727100, t=0.5: mean=0.0718, std=1.0209, Time/epoch: 0.006s, ETA: 4.7min
Epoch 50500/100000, Loss: 2.148065, t=0.5: mean=0.0237, std=0.9884, Time/epoch: 0.006s, ETA: 4.6min
Epoch 51000/100000, Loss: 2.546458, t=0.5: mean=0.0299, std=1.0188, Time/epoch: 0.006s, ETA: 4.6min
Epoch 51500/100000, Loss: 2.131920, t=0.5: mean=0.0250, std=0.9783, Time/epoch: 0.006s, ETA: 4.5min
Epoch 52000/100000, Loss: 2.685620, t=0.5: mean=-0.0809, std=0.9840, Time/epoch: 0.006s, ETA: 4.5min
Epoch 52500/100000, Loss: 2.861866, t=0.5: mean=0.0281, std=1.0174, Time/epoch: 0.006s, ETA: 4.4min
