Using device: cuda
======================================================================
Time-Dependent 1D Double Well Fokker-Planck
======================================================================
Parameters: σ=1.0, T=1.0
Potential: V(x) = (x² - 1)²
Drift: b(x) = -4x³ + 4x
Initial condition: N(0.0, 1.0)
Training: K=5000 test functions, M=5000 batch size, 200000 epochs
======================================================================
Saved: results_doublewell1d/potential_drift.png

Initializing networks...
Pushforward network parameters: 449
Test functions parameters: 15,000

Starting training...
----------------------------------------------------------------------
Epoch     0/200000, Loss: 0.724508, t=0.5: mean=-1.4206, std=1.2139, Time/epoch: 0.159s, ETA: 531.5min
Epoch   500/200000, Loss: 0.770824, t=0.5: mean=-0.0264, std=1.0279, Time/epoch: 0.004s, ETA: 12.7min
Epoch  1000/200000, Loss: 0.842475, t=0.5: mean=0.0389, std=1.0392, Time/epoch: 0.004s, ETA: 12.6min
Epoch  1500/200000, Loss: 0.771001, t=0.5: mean=-0.0237, std=0.9776, Time/epoch: 0.004s, ETA: 12.9min
Epoch  2000/200000, Loss: 0.944626, t=0.5: mean=-0.0181, std=1.0000, Time/epoch: 0.004s, ETA: 12.9min
Epoch  2500/200000, Loss: 0.942060, t=0.5: mean=-0.0148, std=0.9982, Time/epoch: 0.004s, ETA: 12.6min
Epoch  3000/200000, Loss: 0.892492, t=0.5: mean=-0.0216, std=1.0033, Time/epoch: 0.004s, ETA: 12.6min
Epoch  3500/200000, Loss: 0.725892, t=0.5: mean=-0.0423, std=0.9670, Time/epoch: 0.004s, ETA: 12.7min
Epoch  4000/200000, Loss: 1.106744, t=0.5: mean=0.0193, std=0.9719, Time/epoch: 0.004s, ETA: 13.1min
Epoch  4500/200000, Loss: 0.981546, t=0.5: mean=0.1039, std=1.0304, Time/epoch: 0.004s, ETA: 13.2min
Epoch  5000/200000, Loss: 0.984371, t=0.5: mean=0.0146, std=0.9810, Time/epoch: 0.004s, ETA: 13.0min
Epoch  5500/200000, Loss: 1.050460, t=0.5: mean=-0.0668, std=1.0248, Time/epoch: 0.004s, ETA: 13.1min
Epoch  6000/200000, Loss: 1.102236, t=0.5: mean=-0.0257, std=0.9908, Time/epoch: 0.004s, ETA: 13.0min
Epoch  6500/200000, Loss: 1.365158, t=0.5: mean=0.0227, std=1.0022, Time/epoch: 0.004s, ETA: 12.8min
Epoch  7000/200000, Loss: 1.084978, t=0.5: mean=0.0171, std=1.0055, Time/epoch: 0.004s, ETA: 12.8min
Epoch  7500/200000, Loss: 1.315176, t=0.5: mean=-0.0623, std=0.9925, Time/epoch: 0.004s, ETA: 12.8min
Epoch  8000/200000, Loss: 1.186392, t=0.5: mean=-0.0451, std=0.9608, Time/epoch: 0.004s, ETA: 12.8min
Epoch  8500/200000, Loss: 1.547615, t=0.5: mean=0.0082, std=1.0259, Time/epoch: 0.004s, ETA: 12.8min
Epoch  9000/200000, Loss: 1.116087, t=0.5: mean=-0.0112, std=0.9947, Time/epoch: 0.004s, ETA: 12.3min
Epoch  9500/200000, Loss: 1.443064, t=0.5: mean=-0.0448, std=1.0489, Time/epoch: 0.004s, ETA: 12.7min
Epoch 10000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.5min
Epoch 10500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.9min
Epoch 11000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.5min
Epoch 11500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.6min
Epoch 12000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.4min
Epoch 12500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 14.0min
Epoch 13000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.005s, ETA: 14.1min
Epoch 13500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.005s, ETA: 14.1min
Epoch 14000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 14500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.4min
Epoch 15000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.4min
Epoch 15500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 16000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.0min
Epoch 16500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 17000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 17500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 18000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.2min
Epoch 18500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.1min
Epoch 19000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.0min
Epoch 19500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.0min
Epoch 20000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.0min
Epoch 20500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 12.0min
Epoch 21000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.9min
Epoch 21500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.9min
Epoch 22000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.6min
Epoch 22500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.7min
Epoch 23000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.8min
Epoch 23500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.7min
Epoch 24000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.3min
Epoch 24500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.5min
Epoch 25000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.7min
Epoch 25500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.5min
Epoch 26000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 11.0min
Epoch 26500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.7min
Epoch 27000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.7min
Epoch 27500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.7min
Epoch 28000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.6min
Epoch 28500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.6min
Epoch 29000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.6min
Epoch 29500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.6min
Epoch 30000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.5min
Epoch 30500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.5min
Epoch 31000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.5min
Epoch 31500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.5min
Epoch 32000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.4min
Epoch 32500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.4min
Epoch 33000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.3min
Epoch 33500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.3min
Epoch 34000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.3min
Epoch 34500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.3min
Epoch 35000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.2min
Epoch 35500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.2min
Epoch 36000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.1min
Epoch 36500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.1min
Epoch 37000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.1min
Epoch 37500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.1min
Epoch 38000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.0min
Epoch 38500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.0min
Epoch 39000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 10.0min
Epoch 39500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.9min
Epoch 40000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.9min
Epoch 40500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.9min
Epoch 41000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.8min
Epoch 41500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.8min
Epoch 42000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.8min
Epoch 42500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.7min
Epoch 43000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.7min
Epoch 43500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.7min
Epoch 44000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.7min
Epoch 44500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.6min
Epoch 45000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.6min
Epoch 45500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.5min
Epoch 46000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.5min
Epoch 46500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.5min
Epoch 47000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.5min
Epoch 47500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.4min
Epoch 48000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.4min
Epoch 48500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.4min
Epoch 49000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 49500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 50000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 50500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.2min
Epoch 51000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.2min
Epoch 51500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.2min
Epoch 52000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.2min
Epoch 52500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.1min
Epoch 53000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.1min
Epoch 53500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.1min
Epoch 54000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.0min
Epoch 54500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.0min
Epoch 55000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.0min
Epoch 55500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 56000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.4min
Epoch 56500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.4min
Epoch 57000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 57500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 58000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 58500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 9.3min
Epoch 59000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.9min
Epoch 59500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.7min
Epoch 60000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.7min
Epoch 60500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.6min
Epoch 61000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.6min
Epoch 61500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.6min
Epoch 62000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.5min
Epoch 62500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.5min
Epoch 63000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.5min
Epoch 63500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.4min
Epoch 64000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.4min
Epoch 64500/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.4min
Epoch 65000/200000, Loss: nan, t=0.5: mean=nan, std=nan, Time/epoch: 0.004s, ETA: 8.4min
