Using device: cuda
======================================================================
Fractional 20D Double-Well  (Section 4.10 variant)
======================================================================
Training: N_EPOCHS=90000, K_TEST=5000, ALPHA=1.5, DIM=20
Epoch 500/90000 | Loss: 0.625328 | sigma_coeff: 10.0000
Epoch 1000/90000 | Loss: 0.615276 | sigma_coeff: 10.0000
Epoch 1500/90000 | Loss: 0.696603 | sigma_coeff: 10.0000
Epoch 2000/90000 | Loss: 0.826440 | sigma_coeff: 10.0000
Epoch 2500/90000 | Loss: 1.219558 | sigma_coeff: 10.0000
Epoch 3000/90000 | Loss: 1.997363 | sigma_coeff: 10.0000
Epoch 3500/90000 | Loss: 4.086080 | sigma_coeff: 10.0000
Epoch 4000/90000 | Loss: 6.775558 | sigma_coeff: 10.0000
Epoch 4500/90000 | Loss: 10.567899 | sigma_coeff: 10.0000
Epoch 5000/90000 | Loss: 14.652603 | sigma_coeff: 10.0000
Epoch 5500/90000 | Loss: 19.068935 | sigma_coeff: 9.9982
Epoch 6000/90000 | Loss: 23.354380 | sigma_coeff: 9.9927
Epoch 6500/90000 | Loss: 25.882702 | sigma_coeff: 9.9835
Epoch 7000/90000 | Loss: 28.637592 | sigma_coeff: 9.9707
Epoch 7500/90000 | Loss: 33.880867 | sigma_coeff: 9.9542
Epoch 8000/90000 | Loss: 36.133286 | sigma_coeff: 9.9341
Epoch 8500/90000 | Loss: 37.707226 | sigma_coeff: 9.9104
Epoch 9000/90000 | Loss: 40.947426 | sigma_coeff: 9.8831
Epoch 9500/90000 | Loss: 45.041901 | sigma_coeff: 9.8522
Epoch 10000/90000 | Loss: 45.158257 | sigma_coeff: 9.8178
Epoch 10500/90000 | Loss: 47.402702 | sigma_coeff: 9.7798
Epoch 11000/90000 | Loss: 49.695278 | sigma_coeff: 9.7384
Epoch 11500/90000 | Loss: 51.785610 | sigma_coeff: 9.6935
Epoch 12000/90000 | Loss: 56.175293 | sigma_coeff: 9.6452
Epoch 12500/90000 | Loss: 61.670860 | sigma_coeff: 9.5935
Epoch 13000/90000 | Loss: 63.623974 | sigma_coeff: 9.5384
Epoch 13500/90000 | Loss: 72.010948 | sigma_coeff: 9.4801
Epoch 14000/90000 | Loss: 70.559837 | sigma_coeff: 9.4185
Epoch 14500/90000 | Loss: 74.119774 | sigma_coeff: 9.3537
Epoch 15000/90000 | Loss: 76.094635 | sigma_coeff: 9.2858
Epoch 15500/90000 | Loss: 76.278801 | sigma_coeff: 9.2148
Epoch 16000/90000 | Loss: 79.143936 | sigma_coeff: 9.1407
Epoch 16500/90000 | Loss: 76.756874 | sigma_coeff: 9.0637
Epoch 17000/90000 | Loss: 77.388687 | sigma_coeff: 8.9838
Epoch 17500/90000 | Loss: 80.871223 | sigma_coeff: 8.9010
Epoch 18000/90000 | Loss: 81.670097 | sigma_coeff: 8.8155
Epoch 18500/90000 | Loss: 79.463402 | sigma_coeff: 8.7273
Epoch 19000/90000 | Loss: 82.787338 | sigma_coeff: 8.6364
Epoch 19500/90000 | Loss: 80.614998 | sigma_coeff: 8.5430
Epoch 20000/90000 | Loss: 81.062057 | sigma_coeff: 8.4471
Epoch 20500/90000 | Loss: 83.141273 | sigma_coeff: 8.3488
Epoch 21000/90000 | Loss: 78.054520 | sigma_coeff: 8.2481
Epoch 21500/90000 | Loss: 81.331032 | sigma_coeff: 8.1452
Epoch 22000/90000 | Loss: 82.507240 | sigma_coeff: 8.0402
Epoch 22500/90000 | Loss: 79.960976 | sigma_coeff: 7.9331
Epoch 23000/90000 | Loss: 94.954773 | sigma_coeff: 7.8240
Epoch 23500/90000 | Loss: 92.030083 | sigma_coeff: 7.7130
Epoch 24000/90000 | Loss: 89.212639 | sigma_coeff: 7.6002
Epoch 24500/90000 | Loss: 87.626183 | sigma_coeff: 7.4857
Epoch 25000/90000 | Loss: 95.727425 | sigma_coeff: 7.3696
Epoch 25500/90000 | Loss: 96.698814 | sigma_coeff: 7.2520
Epoch 26000/90000 | Loss: 101.173637 | sigma_coeff: 7.1329
Epoch 26500/90000 | Loss: 102.118271 | sigma_coeff: 7.0125
Epoch 27000/90000 | Loss: 100.467148 | sigma_coeff: 6.8908
Epoch 27500/90000 | Loss: 107.115120 | sigma_coeff: 6.7680
Epoch 28000/90000 | Loss: 105.761520 | sigma_coeff: 6.6442
Epoch 28500/90000 | Loss: 102.677269 | sigma_coeff: 6.5195
Epoch 29000/90000 | Loss: 108.404526 | sigma_coeff: 6.3939
Epoch 29500/90000 | Loss: 107.995338 | sigma_coeff: 6.2676
Epoch 30000/90000 | Loss: 111.015274 | sigma_coeff: 6.1407
Epoch 30500/90000 | Loss: 111.300758 | sigma_coeff: 6.0132
Epoch 31000/90000 | Loss: 119.720398 | sigma_coeff: 5.8853
Epoch 31500/90000 | Loss: 120.952072 | sigma_coeff: 5.7572
