Using device: cuda
======================================================================
Fractional 20D Double-Well  (Section 4.10 variant)
======================================================================
Training: N_EPOCHS=90000, K_TEST=5000, ALPHA=1.5, DIM=20
Epoch 42500/90000 | Loss: 4.831115 | sigma_coeff: 5.8924
Epoch 43000/90000 | Loss: 3.342789 | sigma_coeff: 5.8141
Epoch 43500/90000 | Loss: 2.679294 | sigma_coeff: 5.7357
Epoch 44000/90000 | Loss: 5.914841 | sigma_coeff: 5.6572
Epoch 44500/90000 | Loss: 5.479896 | sigma_coeff: 5.5787
Epoch 45000/90000 | Loss: 2.705662 | sigma_coeff: 5.5002
Epoch 45500/90000 | Loss: 5.474977 | sigma_coeff: 5.4216
Epoch 46000/90000 | Loss: 4.307148 | sigma_coeff: 5.3431
Epoch 46500/90000 | Loss: 3.257331 | sigma_coeff: 5.2646
Epoch 47000/90000 | Loss: 5.168539 | sigma_coeff: 5.1863
Epoch 47500/90000 | Loss: 3.200045 | sigma_coeff: 5.1080
Epoch 48000/90000 | Loss: 3.997842 | sigma_coeff: 5.0298
Epoch 48500/90000 | Loss: 5.071990 | sigma_coeff: 4.9517
Epoch 49000/90000 | Loss: 4.262450 | sigma_coeff: 4.8739
Epoch 49500/90000 | Loss: 4.204734 | sigma_coeff: 4.7962
Epoch 50000/90000 | Loss: 5.823121 | sigma_coeff: 4.7187
Epoch 50500/90000 | Loss: 3.761590 | sigma_coeff: 4.6415
Epoch 51000/90000 | Loss: 2.482487 | sigma_coeff: 4.5646
Epoch 51500/90000 | Loss: 5.493845 | sigma_coeff: 4.4879
Epoch 52000/90000 | Loss: 4.060340 | sigma_coeff: 4.4115
Epoch 52500/90000 | Loss: 3.013080 | sigma_coeff: 4.3355
Epoch 53000/90000 | Loss: 6.267686 | sigma_coeff: 4.2598
Epoch 53500/90000 | Loss: 4.192985 | sigma_coeff: 4.1845
Epoch 54000/90000 | Loss: 2.857257 | sigma_coeff: 4.1096
Epoch 54500/90000 | Loss: 5.272243 | sigma_coeff: 4.0351
Epoch 55000/90000 | Loss: 4.200747 | sigma_coeff: 3.9611
Epoch 55500/90000 | Loss: 3.451146 | sigma_coeff: 3.8875
Epoch 56000/90000 | Loss: 5.394546 | sigma_coeff: 3.8144
Epoch 56500/90000 | Loss: 3.714731 | sigma_coeff: 3.7419
Epoch 57000/90000 | Loss: 3.661776 | sigma_coeff: 3.6698
Epoch 57500/90000 | Loss: 6.088662 | sigma_coeff: 3.5984
Epoch 58000/90000 | Loss: 2.116658 | sigma_coeff: 3.5275
Epoch 58500/90000 | Loss: 2.435611 | sigma_coeff: 3.4572
Epoch 59000/90000 | Loss: 1.827669 | sigma_coeff: 3.3875
Epoch 59500/90000 | Loss: 2.089908 | sigma_coeff: 3.3185
Epoch 60000/90000 | Loss: 2.401643 | sigma_coeff: 3.2501
Epoch 60500/90000 | Loss: 2.346678 | sigma_coeff: 3.1825
Epoch 61000/90000 | Loss: 2.126491 | sigma_coeff: 3.1155
Epoch 61500/90000 | Loss: 2.308012 | sigma_coeff: 3.0493
Epoch 62000/90000 | Loss: 2.118542 | sigma_coeff: 2.9838
Epoch 62500/90000 | Loss: 2.074388 | sigma_coeff: 2.9190
Epoch 63000/90000 | Loss: 2.220749 | sigma_coeff: 2.8551
Epoch 63500/90000 | Loss: 2.196757 | sigma_coeff: 2.7920
Epoch 64000/90000 | Loss: 2.043441 | sigma_coeff: 2.7296
Epoch 64500/90000 | Loss: 2.582410 | sigma_coeff: 2.6682
Epoch 65000/90000 | Loss: 2.207662 | sigma_coeff: 2.6076
Epoch 65500/90000 | Loss: 1.883248 | sigma_coeff: 2.5479
Epoch 66000/90000 | Loss: 2.204470 | sigma_coeff: 2.4890
Epoch 66500/90000 | Loss: 2.704225 | sigma_coeff: 2.4311
Epoch 67000/90000 | Loss: 1.852760 | sigma_coeff: 2.3742
Epoch 67500/90000 | Loss: 2.210159 | sigma_coeff: 2.3181
Epoch 68000/90000 | Loss: 2.285510 | sigma_coeff: 2.2631
Epoch 68500/90000 | Loss: 2.870369 | sigma_coeff: 2.2090
Epoch 69000/90000 | Loss: 2.459250 | sigma_coeff: 2.1560
Epoch 69500/90000 | Loss: 2.339594 | sigma_coeff: 2.1039
Epoch 70000/90000 | Loss: 2.413097 | sigma_coeff: 2.0529
Epoch 70500/90000 | Loss: 2.518156 | sigma_coeff: 2.0029
Epoch 71000/90000 | Loss: 2.243413 | sigma_coeff: 1.9540
Epoch 71500/90000 | Loss: 2.563867 | sigma_coeff: 1.9062
Epoch 72000/90000 | Loss: 2.682277 | sigma_coeff: 1.8595
Epoch 72500/90000 | Loss: 2.601940 | sigma_coeff: 1.8139
Epoch 73000/90000 | Loss: 2.326971 | sigma_coeff: 1.7694
Epoch 73500/90000 | Loss: 1.932775 | sigma_coeff: 1.7261
Epoch 74000/90000 | Loss: 2.206014 | sigma_coeff: 1.6839
Epoch 74500/90000 | Loss: 2.114191 | sigma_coeff: 1.6428
Epoch 75000/90000 | Loss: 3.183465 | sigma_coeff: 1.6030
Epoch 75500/90000 | Loss: 2.483950 | sigma_coeff: 1.5643
Epoch 76000/90000 | Loss: 2.676695 | sigma_coeff: 1.5268
Epoch 76500/90000 | Loss: 2.554286 | sigma_coeff: 1.4905
Epoch 77000/90000 | Loss: 2.429028 | sigma_coeff: 1.4555
Epoch 77500/90000 | Loss: 3.363422 | sigma_coeff: 1.4217
Epoch 78000/90000 | Loss: 2.453541 | sigma_coeff: 1.3891
Epoch 78500/90000 | Loss: 2.569979 | sigma_coeff: 1.3578
Epoch 79000/90000 | Loss: 2.938260 | sigma_coeff: 1.3277
Epoch 79500/90000 | Loss: 2.553762 | sigma_coeff: 1.2989
Epoch 80000/90000 | Loss: 2.968779 | sigma_coeff: 1.2714
Epoch 80500/90000 | Loss: 2.436096 | sigma_coeff: 1.2452
Epoch 81000/90000 | Loss: 2.443585 | sigma_coeff: 1.2203
Epoch 81500/90000 | Loss: 3.162962 | sigma_coeff: 1.1967
Epoch 82000/90000 | Loss: 3.026595 | sigma_coeff: 1.1744
Epoch 82500/90000 | Loss: 2.734738 | sigma_coeff: 1.1534
Epoch 83000/90000 | Loss: 3.104626 | sigma_coeff: 1.1337
Epoch 83500/90000 | Loss: 2.874650 | sigma_coeff: 1.1154
Epoch 84000/90000 | Loss: 3.334273 | sigma_coeff: 1.0984
Epoch 84500/90000 | Loss: 2.496818 | sigma_coeff: 1.0827
Epoch 85000/90000 | Loss: 2.818602 | sigma_coeff: 1.0684
Epoch 85500/90000 | Loss: 2.500455 | sigma_coeff: 1.0554
Epoch 86000/90000 | Loss: 2.742370 | sigma_coeff: 1.0438
Epoch 86500/90000 | Loss: 2.616615 | sigma_coeff: 1.0336
Epoch 87000/90000 | Loss: 2.940887 | sigma_coeff: 1.0247
Epoch 87500/90000 | Loss: 2.365656 | sigma_coeff: 1.0171
Epoch 88000/90000 | Loss: 2.779837 | sigma_coeff: 1.0110
Epoch 88500/90000 | Loss: 2.174228 | sigma_coeff: 1.0062
Epoch 89000/90000 | Loss: 2.819252 | sigma_coeff: 1.0027
Epoch 89500/90000 | Loss: 2.669925 | sigma_coeff: 1.0007
Epoch 90000/90000 | Loss: 2.508214 | sigma_coeff: 1.0000
Plots saved.
Model saved.
Done.
